Champion,Games played,Win Rate,Pick Rate,Ban Rate
Lee Sin,"1,261",48.37%,12.89%,9.9%
Master Yi,"1,185",56.46%,12.12%,16.97%
Kayn,"1,140",49.56%,11.66%,9.14%
Kha'Zix,"1,128",47.87%,11.53%,14.69%
Viego,"1,058",50.38%,10.82%,6.79%
Nocturne,"1,023",59.43%,10.46%,19.73%
Graves,826,50.36%,8.45%,4.83%
Rengar,689,47.9%,7.04%,8.12%
Briar,669,50.37%,6.84%,34.72%
Shaco,582,48.11%,5.95%,18.44%
Kindred,485,50.93%,4.96%,1.32%
Evelynn,472,47.46%,4.83%,6.52%
Hecarim,431,47.1%,4.41%,3.99%
Udyr,425,46.82%,4.35%,2.63%
Xin Zhao,423,48.46%,4.33%,0.67%
Diana,394,51.27%,4.03%,1.44%
Jarvan IV,380,45.53%,3.89%,2.61%
Warwick,368,49.46%,3.76%,1.47%
Bel'Veth,356,50.28%,3.64%,4.53%
Lillia,346,52.31%,3.54%,1.95%
Fiddlesticks,346,49.71%,3.54%,3.51%
Nunu & Willump,336,50.3%,3.44%,0.98%
Ekko,312,50.32%,3.19%,1.76%
Brand,302,55.96%,3.09%,5.66%
Vi,295,49.83%,3.02%,0.63%
Jax,280,50.71%,2.86%,19.19%
Rammus,268,50%,2.74%,9.4%
Amumu,218,53.21%,2.23%,0.61%
Sejuani,204,46.08%,2.09%,0.48%
Zac,196,44.39%,2%,0.98%
Karthus,178,44.94%,1.82%,1.45%
Gragas,177,45.2%,1.81%,0.88%
Maokai,172,52.91%,1.76%,1.07%
Wukong,171,48.54%,1.75%,0.45%
Sylas,169,44.38%,1.73%,8.9%
Poppy,167,53.29%,1.71%,1.3%
Nidalee,165,38.79%,1.69%,0.25%
Trundle,159,50.94%,1.63%,25.39%
Shyvana,155,46.45%,1.58%,0.25%
Elise,138,48.55%,1.41%,0.58%
Rek'Sai,113,38.94%,1.16%,0.39%
Ivern,102,50.98%,1.04%,0.63%
Talon,96,44.79%,0.98%,2.23%
Zed,92,50%,0.94%,34.48%
Mordekaiser,76,51.32%,0.78%,7.77%
Pantheon,74,52.7%,0.76%,5.15%
Volibear,73,57.53%,0.75%,1.44%
Taliyah,69,47.83%,0.71%,0.33%
Tryndamere,61,47.54%,0.62%,1.82%
Gwen,56,55.36%,0.57%,4.17%
Skarner,44,45.45%,0.45%,0.09%
Teemo,41,56.1%,0.42%,7.07%
Malphite,39,25.64%,0.4%,5.45%
Rell,33,51.52%,0.34%,1.84%
Sion,30,56.67%,0.31%,3.57%
Qiyana,28,78.57%,0.29%,0.86%
Olaf,28,57.14%,0.29%,1.94%
Rumble,28,42.86%,0.29%,1.94%
Morgana,26,61.54%,0.27%,29.75%
Naafiri,25,36%,0.26%,3.56%
Garen,24,50%,0.25%,1.84%
Nasus,23,52.17%,0.24%,5.43%
Dr. Mundo,21,71.43%,0.25%,1.74%
Cho'Gath,21,28.57%,0.21%,1.51%
Darius,20,35%,0.2%,11.4%
Sett,19,57.89%,0.19%,1.49%
Quinn,19,52.63%,0.19%,1.45%
Singed,18,66.67%,0.18%,1.89%
Yorick,18,55.56%,0.18%,4.75%
Twitch,17,23.53%,0.17%,3.17%
Neeko,16,43.75%,0.16%,3.5%
Riven,16,37.5%,0.16%,3.25%
Yone,16,31.25%,0.16%,25.76%
Yasuo,11,36.36%,0.11%,19.07%
Zyra,8,75%,0.09%,4.25%
Nautilus,8,50%,0.08%,13.62%
Shen,8,37.5%,0.09%,0.28%
Aatrox,8,37.5%,0.08%,20.94%
Twisted Fate,7,71.43%,0.07%,2.01%
Taric,5,40%,0.05%,0.16%
Vayne,4,50%,0.04%,10.92%
Kai'Sa,4,50%,0.05%,3.58%
Tahm Kench,4,50%,0.05%,2.35%
Pyke,4,50%,0.05%,11.54%
Kayle,4,25%,0.04%,1.39%
Katarina,4,0%,0.04%,13.6%
Fizz,3,100%,0.04%,10.98%
Renekton,3,0%,0.04%,2.82%
Zoe,3,0%,0.04%,2.01%
Kled,3,0%,0.04%,0.71%
Malzahar,2,50%,0.02%,3.23%
Lux,2,50%,0.02%,28.2%
Jayce,2,50%,0.02%,1.63%
Camille,2,50%,0.02%,1.55%
Ornn,2,50%,0.02%,1.58%
Vladimir,2,50%,0.15%,3.03%
Galio,2,0%,0.02%,0.62%
Urgot,2,0%,0.02%,0.93%
LeBlanc,2,0%,0.02%,11.64%
Senna,2,0%,0.02%,8.56%
Yuumi,2,0%,0.15%,4.51%
Heimerdinger,1,100%,0.01%,0.46%
Syndra,1,100%,0.01%,6.2%
Aurelion Sol,1,100%,0.01%,0.82%
Azir,1,100%,0.01%,0.85%
Renata Glasc,1,100%,0.01%,3.39%
Hwei,1,100%,0.01%,33.28%
Tristana,1,0%,0.01%,1.17%
Kassadin,1,0%,0.01%,2.69%
Irelia,1,0%,0.01%,10.27%
Caitlyn,1,0%,0.01%,15.43%
Fiora,1,0%,0.01%,6.71%
Draven,1,0%,0.01%,5.57%
Akshan,1,0%,0.01%,1.5%
Rakan,1,0%,0.01%,1.67%
Aphelios,1,0%,0.01%,1.27%
Leona,1,0%,0.07%,2.36%
