Hero,Win Percentage,Popularity,Ban Ratio
Masha,56.06%,0.11%,0.12%
Minotaur,55.07%,0.87%,2.75%
Diggie,55.06%,0.46%,24.21%
Floryn,54.99%,0.44%,4.51%
Lolita,54.83%,0.2%,0.53%
Wanwan,54.46%,1%,40.79%
Argus,54.3%,0.2%,0.13%
X.Borg,53.89%,0.94%,1.7%
Benedetta,53.62%,0.36%,0.21%
Ruby,53.45%,0.71%,1%
Rafaela,53.34%,0.49%,0.56%
Khaleed,53.3%,0.2%,0.07%
Zhask,53.23%,0.65%,0.7%
Mathilda,53.03%,0.44%,12.04%
Belerick,52.92%,0.66%,0.84%
Alice,52.83%,0.58%,64.3%
Barats,52.61%,0.7%,27.65%
Hylos,52.58%,0.24%,0.09%
Lunox,52.48%,0.78%,59.07%
Gatotkaca,52.44%,1.38%,0.88%
Harley,52.35%,1.09%,14.56%
Ixia,52.33%,0.59%,1.13%
Yi Sun-shin,52.29%,0.14%,0.05%
Melissa,52.25%,0.68%,0.94%
Hanabi,52.18%,4.09%,6.65%
Nolan,52.13%,0.71%,55.83%
Hanzo,51.95%,0.25%,2.37%
Popol and Kupa,51.87%,0.4%,0.26%
Luo Yi,51.84%,0.51%,0.35%
Roger,51.67%,0.58%,0.21%
Carmilla,51.66%,0.1%,0.11%
Vale,51.64%,1.02%,1.38%
Gord,51.6%,0.8%,0.32%
Guinevere,51.55%,1.72%,20.72%
Gloo,51.5%,0.08%,0.19%
Aulus,51.48%,0.15%,0.16%
Terizla,51.35%,0.84%,0.73%
Angela,51.35%,1.96%,27.22%
Yin,51.31%,1.34%,15.2%
Kimmy,51.17%,0.29%,0.28%
Natalia,51.14%,0.23%,0.54%
Nana,51.03%,3.44%,44.13%
Yu Zhong,51.02%,1.18%,0.6%
Alpha,50.97%,2.05%,2.62%
Aldous,50.93%,1.03%,2.02%
Odette,50.93%,0.96%,0.54%
Tigreal,50.88%,3.09%,11.42%
Edith,50.86%,0.46%,0.23%
Joy,50.83%,0.26%,5.37%
Lylia,50.83%,0.79%,0.41%
Phoveus,50.78%,0.13%,0.38%
Cyclops,50.6%,0.73%,0.19%
Vexana,50.58%,2.7%,5.35%
Bane,50.56%,0.31%,0.13%
Chang'e,50.52%,1.46%,1.9%
Karrie,50.51%,1.77%,9.02%
Helcurt,50.49%,0.24%,0.55%
Estes,50.48%,0.79%,39.67%
Valir,50.47%,1.55%,14.82%
Arlott,50.46%,0.56%,2.74%
Brody,50.38%,1.12%,1.04%
Xavier,50.36%,0.52%,0.12%
Faramis,50.29%,0.31%,2.49%
Baxia,50.23%,0.15%,0.09%
Aamon,50.16%,0.45%,0.6%
Atlas,50.03%,0.67%,2.72%
Thamuz,49.98%,1.04%,1.24%
Natan,49.86%,0.33%,0.27%
Irithel,49.83%,0.58%,0.11%
Novaria,49.82%,0.83%,3.22%
Cici,49.81%,1.46%,55.18%
Freya,49.66%,0.52%,0.57%
Moskov,49.65%,1.15%,0.93%
Clint,49.65%,0.68%,0.12%
Harith,49.6%,0.18%,0.1%
Selena,49.52%,0.66%,0.67%
Julian,49.44%,0.36%,0.27%
Bruno,49.35%,0.99%,0.41%
Kagura,49.25%,0.36%,0.15%
Badang,49.21%,0.53%,0.17%
Granger,49.2%,0.53%,0.12%
Khufra,49.14%,0.61%,0.9%
Leomord,49.09%,0.16%,0.06%
Uranus,49.01%,0.36%,0.23%
Hilda,48.78%,0.48%,0.28%
Kaja,48.75%,0.1%,0.15%
Kadita,48.64%,0.48%,0.34%
Ling,48.61%,0.29%,0.22%
Minsitthar,48.58%,0.33%,0.76%
Sun,48.54%,0.82%,1.2%
Alucard,48.5%,0.44%,0.21%
Martis,48.45%,1.58%,13.34%
Gusion,48.37%,0.96%,0.74%
Layla,48.33%,2.35%,1.82%
Karina,48.3%,1.07%,5.49%
Claude,48.25%,1.37%,0.66%
Johnson,48.23%,0.93%,3.31%
Cecilion,48.21%,0.83%,0.21%
Dyrroth,48.02%,2.84%,3.45%
Saber,48.01%,0.93%,5.25%
Hayabusa,47.99%,0.45%,0.38%
Silvanna,47.91%,0.3%,0.06%
Lapu-Lapu,47.75%,0.47%,0.09%
Lancelot,47.6%,1.55%,1.9%
Fanny,47.57%,0.52%,6.35%
Balmond,47.44%,2.18%,42.87%
Miya,47.34%,1.52%,0.71%
Jawhead,46.85%,0.42%,0.19%
Zilong,46.78%,1.46%,0.56%
Akai,46.76%,0.36%,0.21%
Grock,46.72%,0.09%,0.04%
Yve,46.59%,0.06%,0.07%
Fredrinn,46.56%,0.33%,0.32%
Eudora,46.55%,0.81%,0.69%
Franco,46.38%,2.28%,4.37%
Aurora,45.9%,0.1%,0.07%
Lesley,45.82%,1.17%,0.43%
Beatrix,45.41%,0.59%,0.13%
Pharsa,45.37%,0.38%,0.14%
Esmeralda,44.99%,0.41%,0.18%
Paquito,44.96%,0.28%,0.09%
Chou,44.9%,1.13%,0.63%
Valentina,42.46%,0.29%,0.55%
